,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,83.89,84,20,0.0,few clouds
1,Mataura,NZ,-46.1927,168.8643,49.53,99,100,2.1,moderate rain
2,Bethel,US,41.3712,-73.414,68.36,92,90,1.01,overcast clouds
3,Albany,US,42.6001,-73.9662,56.23,95,100,2.64,overcast clouds
4,Kiruna,SE,67.8557,20.2251,22.12,93,90,1.14,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,74.28,75,100,18.16,overcast clouds
6,Mackay,AU,-21.15,149.2,76.68,75,99,6.06,overcast clouds
7,Hilo,US,19.7297,-155.09,72.28,92,1,4.61,light rain
8,Great Falls,US,47.5002,-111.3008,56.41,58,40,11.5,scattered clouds
9,Plouzane,FR,48.3833,-4.6167,62.92,74,75,12.66,broken clouds
10,Shumerlya,RU,55.5005,46.4129,32.11,67,16,5.37,few clouds
11,Souillac,MU,-20.5167,57.5167,76.35,71,22,14.58,few clouds
12,Ushuaia,AR,-54.8,-68.3,35.22,100,90,12.66,light snow
13,Minsk,BY,53.9,27.5667,44.35,61,16,11.3,few clouds
14,Carnarvon,AU,-24.8667,113.6333,66.27,59,75,17.27,broken clouds
15,Port Hardy,CA,50.6996,-127.4199,48.27,87,100,27.81,light rain
16,Grand Island,US,40.925,-98.342,42.58,82,95,5.3,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,75.7,65,89,2.93,overcast clouds
18,Castro,BR,-24.7911,-50.0119,63.99,74,94,6.38,overcast clouds
19,Williston,US,48.147,-103.618,41.92,87,100,5.99,overcast clouds
20,Hualmay,PE,-11.0964,-77.6139,65.37,74,37,8.16,scattered clouds
21,Hobart,AU,-42.8794,147.3294,49.86,81,90,1.99,drizzle
22,Beringovskiy,RU,63.05,179.3167,9.27,79,100,5.19,overcast clouds
23,Pevek,RU,69.7008,170.3133,0.99,97,100,4.81,overcast clouds
24,Sidi Ali,DZ,36.0998,0.4206,68.94,41,87,11.32,overcast clouds
25,Honningsvag,NO,70.9821,25.9704,34.9,69,14,18.77,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,34,11.86,scattered clouds
27,Chuy,UY,-33.6971,-53.4616,74.98,39,0,18.9,clear sky
28,Mahebourg,MU,-20.4081,57.7,76.24,72,13,14.94,few clouds
29,Busselton,AU,-33.65,115.3333,46.04,65,49,6.22,scattered clouds
30,Lagoa,PT,39.05,-27.9833,66.24,76,42,8.55,scattered clouds
31,Jamestown,US,42.097,-79.2353,65.52,77,90,8.05,overcast clouds
32,Ancud,CL,-41.8697,-73.8203,53.13,93,100,12.46,light rain
33,Fairbanks,US,64.8378,-147.7164,27.61,91,90,0.0,light snow
34,Port Alfred,ZA,-33.5906,26.891,67.08,70,35,23.02,scattered clouds
35,Itarema,BR,-2.9248,-39.9167,88.12,51,50,17.45,scattered clouds
36,Brae,GB,60.3964,-1.353,51.71,79,51,23.38,broken clouds
37,Riohacha,CO,11.5444,-72.9072,85.95,63,17,16.4,few clouds
38,Weyburn,CA,49.6668,-103.8511,37.18,83,100,20.6,overcast clouds
39,Axim,GH,4.8699,-2.2405,82.58,75,45,11.1,light rain
40,Hamilton,US,39.1834,-84.5333,59.59,94,90,1.01,overcast clouds
41,Vardo,NO,70.3705,31.1107,28.6,74,55,10.89,light snow
42,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,32.21,scattered clouds
43,Moron,AR,-34.6534,-58.6198,82.02,34,0,5.01,clear sky
44,Grand Gaube,MU,-20.0064,57.6608,76.37,68,36,8.01,scattered clouds
45,Puerto El Triunfo,SV,13.2833,-88.55,82.56,79,7,3.09,clear sky
46,Talnakh,RU,69.4865,88.3972,22.8,95,100,11.95,light snow
47,Bengkulu,ID,-3.8004,102.2655,76.3,89,100,4.18,overcast clouds
48,Gamba,GA,-2.65,10.0,78.96,82,100,11.61,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,81.12,51,16,5.99,few clouds
50,Padang,ID,-0.9492,100.3543,77.05,88,100,2.62,light rain
51,Puerto Ayora,EC,-0.7393,-90.3518,71.56,94,60,5.99,broken clouds
52,Spearfish,US,44.4908,-103.8594,57.42,68,1,0.0,clear sky
53,Longyearbyen,SJ,78.2186,15.6401,21.04,68,40,26.46,scattered clouds
54,Lavrentiya,RU,65.5833,-171.0,19.33,79,100,10.25,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,75,5.75,broken clouds
56,Faya,SA,18.3851,42.4509,66.72,51,12,9.73,few clouds
57,Oneonta,US,42.4529,-75.0638,62.11,90,95,7.0,overcast clouds
58,Clyde River,CA,70.4692,-68.5914,17.76,74,92,6.02,overcast clouds
59,Vaini,TO,-21.2,-175.2,71.76,88,20,4.61,few clouds
60,Sitka,US,57.0531,-135.33,40.77,69,22,4.27,few clouds
61,Dikson,RU,73.5069,80.5464,12.72,90,100,19.69,light snow
62,Ahuimanu,US,21.4447,-157.8378,75.45,76,40,9.22,scattered clouds
63,Hasaki,JP,35.7333,140.8333,59.4,72,100,23.51,heavy intensity rain
64,Te Anau,NZ,-45.4167,167.7167,53.65,96,100,0.22,overcast clouds
65,Isiro,CD,2.7739,27.616,85.39,54,100,2.15,overcast clouds
66,Atuona,PF,-9.8,-139.0333,76.1,81,98,15.52,light rain
67,Erdenet,MN,49.0333,104.0833,32.27,60,1,3.74,clear sky
68,Nikolskoye,RU,59.7035,30.7861,48.87,83,100,11.45,overcast clouds
69,Borovichi,RU,58.3878,33.9155,39.7,85,100,12.71,overcast clouds
70,Antofagasta,CL,-23.65,-70.4,65.48,62,17,6.33,few clouds
71,Batagay,RU,67.6333,134.6333,-0.13,99,73,1.52,broken clouds
72,Kruisfontein,ZA,-34.0033,24.7314,70.88,59,0,15.77,clear sky
73,Kavaratti,IN,10.5669,72.642,82.58,76,32,11.74,scattered clouds
74,Luderitz,NA,-26.6481,15.1594,65.32,66,4,5.88,clear sky
75,Upernavik,GL,72.7868,-56.1549,14.43,65,4,6.17,clear sky
76,Tazovskiy,RU,67.4667,78.7,23.95,87,99,16.35,overcast clouds
77,Bereda,ES,43.2686,-7.5406,63.14,76,60,3.38,broken clouds
78,Hermanus,ZA,-34.4187,19.2345,80.91,56,34,22.84,scattered clouds
79,Port Lincoln,AU,-34.7333,135.8667,58.17,77,3,16.67,clear sky
80,Severo-Kurilsk,RU,50.6789,156.125,38.52,77,19,12.64,few clouds
81,Katherine,AU,-14.4667,132.2667,84.52,54,40,1.14,scattered clouds
82,Olafsvik,IS,64.8945,-23.7142,36.95,71,100,21.56,overcast clouds
83,Tasiilaq,GL,65.6145,-37.6368,30.2,80,100,31.74,snow
84,Campo De Criptana,ES,39.4046,-3.1249,66.81,22,100,2.13,overcast clouds
85,Bayevo,RU,53.2833,80.7667,46.42,56,96,8.23,overcast clouds
86,Deep River,CA,46.1001,-77.4995,42.94,78,91,8.66,overcast clouds
87,Cidreira,BR,-30.1811,-50.2056,71.92,47,0,4.56,clear sky
88,Shunyi,CN,40.125,116.6453,49.95,93,100,2.24,light rain
89,New Norfolk,AU,-42.7826,147.0587,49.5,71,76,1.01,broken clouds
90,Kenai,US,60.5544,-151.2583,37.15,98,90,5.75,overcast clouds
91,Meulaboh,ID,4.1363,96.1285,77.02,89,98,2.42,overcast clouds
92,Solnechnyy,RU,50.7214,136.6319,35.92,79,51,4.34,broken clouds
93,Siguiri,GN,11.6667,-9.5,89.65,51,100,2.98,overcast clouds
94,Saint-Augustin,CA,51.226,-58.6502,41.74,58,6,11.36,clear sky
95,Khatanga,RU,71.9667,102.5,5.9,96,100,10.45,light snow
96,Coihaique,CL,-45.5752,-72.0662,49.95,53,75,9.22,light intensity shower rain
97,Lima,PE,-12.0432,-77.0282,61.9,85,90,8.05,overcast clouds
98,Humaita,BR,-7.5061,-63.0208,82.33,73,100,3.33,heavy intensity rain
99,Luanda,AO,-8.8368,13.2343,78.98,71,87,11.05,overcast clouds
100,Yellowknife,CA,62.456,-114.3525,41.41,94,90,10.36,overcast clouds
101,Maragogi,BR,-9.0122,-35.2225,84.09,56,37,12.62,scattered clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,10.36,overcast clouds
103,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,11.5,scattered clouds
104,Jalu,LY,29.0331,21.5482,89.96,19,26,10.71,scattered clouds
105,Cayenne,GF,4.9333,-52.3333,85.08,82,75,5.99,broken clouds
106,Bluff,NZ,-46.6,168.3333,52.88,93,100,9.75,overcast clouds
107,Avarua,CK,-21.2078,-159.775,73.45,64,75,8.05,broken clouds
108,Ostrovnoy,RU,68.0531,39.5131,20.8,89,29,6.87,scattered clouds
109,Krasnoselkup,RU,65.7,82.4667,24.39,83,100,12.28,overcast clouds
110,Mapimi,MX,25.8167,-103.85,61.57,36,1,2.04,clear sky
111,Pinotepa Nacional,MX,16.3167,-98.0167,75.22,89,58,2.66,broken clouds
112,Borisoglebskiy,RU,57.2586,39.1508,33.44,68,100,12.01,snow
113,Boca Do Acre,BR,-8.7522,-67.3978,71.74,97,100,3.65,overcast clouds
114,Bambous Virieux,MU,-20.3428,57.7575,76.21,72,13,14.58,few clouds
115,Swedru,GH,5.5371,-0.6998,84.25,75,85,7.52,light rain
116,Barrow,US,71.2906,-156.7887,28.42,86,90,12.66,overcast clouds
117,Sovetskiy,RU,61.3614,63.5842,28.74,73,100,6.98,overcast clouds
118,Kaitangata,NZ,-46.2817,169.8464,50.61,94,94,6.49,overcast clouds
119,Westport,US,41.1415,-73.3579,69.76,94,1,1.01,clear sky
120,Katsuura,JP,35.1333,140.3,59.14,77,100,24.65,heavy intensity rain
121,Lebu,CL,-37.6167,-73.65,56.25,77,46,8.55,scattered clouds
122,Torbay,CA,47.6666,-52.7314,43.57,89,90,27.63,light intensity drizzle
123,Tabas,IR,33.5959,56.9244,69.15,21,0,8.32,clear sky
124,Luau,AO,-10.7073,22.2247,77.36,60,100,4.25,overcast clouds
125,Santa Cruz,BO,-17.8,-63.1667,82.26,24,100,7.18,overcast clouds
126,Poum,NC,-20.2333,164.0167,74.48,71,26,15.03,scattered clouds
127,Ribeira Brava,PT,32.65,-17.0667,75.7,68,91,2.71,overcast clouds
128,Pangnirtung,CA,66.1451,-65.7125,21.96,74,79,2.06,broken clouds
129,Berlevag,NO,70.8578,29.0864,22.95,80,20,16.49,light snow
130,Port Elizabeth,ZA,-33.918,25.5701,73.09,68,0,18.97,clear sky
131,East London,ZA,-33.0153,27.9116,68.04,66,56,20.98,broken clouds
132,Chadan,RU,51.2833,91.5833,37.51,64,100,5.26,overcast clouds
133,Darnah,LY,32.767,22.6367,76.06,57,100,17.49,overcast clouds
134,Kodiak,US,57.79,-152.4072,40.44,89,100,5.53,light rain
135,Otane,NZ,-39.8833,176.6333,59.38,95,10,2.53,clear sky
136,Grao Mogol,BR,-16.5594,-42.8897,82.49,53,98,5.39,overcast clouds
137,Brookhaven,US,31.5791,-90.4407,71.26,91,40,6.49,scattered clouds
138,Zheshart,RU,62.0731,49.5733,30.58,76,100,9.28,overcast clouds
139,Guerrero Negro,MX,27.9769,-114.0611,62.49,83,4,5.86,clear sky
140,Alyangula,AU,-13.8483,136.4192,79.79,77,100,6.71,overcast clouds
141,Taltal,CL,-25.4,-70.4833,61.23,75,24,4.0,few clouds
142,Bossier City,US,32.516,-93.7321,75.69,86,90,9.22,overcast clouds
143,Airai,TL,-8.9266,125.4092,63.36,89,99,0.13,overcast clouds
144,Avera,US,33.194,-82.5271,69.71,82,85,2.82,overcast clouds
145,Leningradskiy,RU,69.3833,178.4167,5.7,93,100,10.67,overcast clouds
146,Iglino,RU,54.8324,56.4126,39.29,92,100,8.84,moderate rain
147,Nioro,GM,13.35,-15.75,90.32,53,90,4.16,overcast clouds
148,Harper,LR,4.375,-7.7169,81.64,71,100,10.78,overcast clouds
149,Ganta,LR,7.3022,-8.5308,77.79,79,95,2.59,light rain
150,Rawson,AR,-43.3002,-65.1023,61.25,25,9,29.71,clear sky
151,Wajima,JP,37.4,136.9,61.63,70,100,8.28,moderate rain
152,Catamarca,AR,-28.4696,-65.7852,88.65,34,0,1.01,clear sky
153,Deer Lake,CA,49.1667,-57.4316,41.63,74,79,5.64,broken clouds
154,Roald,NO,62.5833,6.1333,53.33,76,75,11.5,light intensity shower rain
155,Kavieng,PG,-2.5744,150.7967,81.93,75,8,6.53,clear sky
156,Porto Walter,BR,-8.2686,-72.7439,71.06,98,100,5.93,heavy intensity rain
157,Kuchaman,IN,27.15,74.85,74.88,40,0,10.29,clear sky
158,Simao,CN,22.7886,100.9748,61.48,98,92,1.3,overcast clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,69.82,47,0,18.01,clear sky
160,Acari,PE,-15.4311,-74.6158,71.38,57,17,5.12,few clouds
161,Uchaly,RU,54.2996,59.4521,36.73,81,100,5.57,overcast clouds
162,Codrington,AU,-38.2667,141.9667,40.6,90,0,4.88,clear sky
163,Hangu,CN,39.2489,117.7892,59.04,63,59,8.68,light rain
164,Camiri,BO,-20.05,-63.5167,80.96,23,0,4.07,clear sky
165,Butaritari,KI,3.0707,172.7902,81.52,71,9,1.52,clear sky
166,Esperance,AU,-33.8667,121.9,55.24,86,100,20.89,overcast clouds
167,Ampanihy,MG,-24.7,44.75,89.78,41,2,18.25,clear sky
168,Thompson,CA,55.7435,-97.8558,29.21,94,12,6.31,few clouds
169,Kapaa,US,22.0752,-159.319,73.72,95,40,14.97,light rain
170,Visnes,NO,59.3556,5.2242,54.21,82,40,19.57,scattered clouds
171,Isangel,VU,-19.55,169.2667,73.67,83,41,10.42,scattered clouds
172,Qaanaaq,GL,77.484,-69.3632,-3.26,58,3,11.61,clear sky
173,Eldoret,KE,0.5204,35.2699,71.55,45,82,9.95,broken clouds
174,Solenzo,BF,12.1833,-4.0833,87.89,47,88,6.31,overcast clouds
175,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.18,56,49,12.03,scattered clouds
176,Tarpon Springs,US,28.1461,-82.7568,81.0,92,90,1.01,moderate rain
177,Poptun,GT,16.3311,-89.4169,76.93,81,20,2.89,few clouds
178,Ribeira Grande,PT,38.5167,-28.7,72.0,68,20,6.91,few clouds
179,Trogir,HR,43.5125,16.2517,68.05,26,0,3.44,clear sky
180,Chicomuselo,MX,15.7667,-92.2667,72.88,84,6,0.72,clear sky
181,Nouadhibou,MR,20.931,-17.0347,72.36,72,100,17.47,overcast clouds
182,Show Low,US,34.2542,-110.0298,52.02,58,1,6.91,clear sky
183,Naze,JP,28.3667,129.4833,68.05,65,86,14.74,overcast clouds
184,Atar,MR,20.5169,-13.0499,97.41,13,84,12.84,broken clouds
185,Maltahohe,NA,-24.8333,16.9833,84.69,7,0,8.03,clear sky
186,Dosso,NE,13.049,3.1937,101.73,11,41,9.48,scattered clouds
187,Saint George,US,37.1041,-113.5841,63.32,46,1,3.0,clear sky
188,Ararat,AM,39.8317,44.7049,59.34,32,93,15.5,overcast clouds
189,Kalininskaya,RU,45.4822,38.6628,49.08,55,99,8.9,overcast clouds
190,Balud,PH,10.1476,123.6953,81.16,81,100,4.94,overcast clouds
191,Victoria,HK,22.2855,114.1577,76.32,74,100,8.01,light rain
192,Estevan,CA,49.1334,-102.9842,39.54,80,100,16.82,overcast clouds
193,Safford,US,32.834,-109.7076,67.35,43,1,3.96,clear sky
194,Huinan,CN,42.6225,126.2614,45.23,83,5,6.78,clear sky
195,Shimoda,JP,34.6667,138.95,56.1,94,100,26.13,moderate rain
196,Caravelas,BR,-17.7125,-39.2481,81.0,79,100,3.71,overcast clouds
197,Steamboat Springs,US,40.485,-106.8317,51.51,71,1,0.0,clear sky
198,Sakakah,SA,29.9697,40.2064,80.51,18,0,2.17,clear sky
199,Outlook,CA,51.5001,-107.0513,37.53,82,100,24.49,overcast clouds
200,Baiyin,CN,36.5583,104.2081,40.51,69,100,16.2,light rain
201,Balikpapan,ID,-1.2675,116.8289,77.11,88,80,2.8,broken clouds
202,Praia,CV,14.9215,-23.5087,84.74,61,75,19.57,broken clouds
203,Port Macquarie,AU,-31.4333,152.9167,62.56,81,5,6.17,clear sky
204,Hithadhoo,MV,-0.6,73.0833,83.12,72,98,15.79,overcast clouds
205,Karibib,NA,-21.9333,15.8333,88.03,8,0,18.88,clear sky
206,Bathsheba,BB,13.2167,-59.5167,83.91,66,100,21.94,overcast clouds
207,Khandbari,NP,27.3747,87.2039,61.61,88,14,3.67,few clouds
208,Tonota,BW,-21.4833,27.4833,74.32,51,9,19.24,clear sky
209,Gladstone,AU,-23.85,151.25,69.73,83,90,5.75,moderate rain
210,Mount Isa,AU,-20.7333,139.5,76.77,41,93,1.14,light rain
211,Bredasdorp,ZA,-34.5322,20.0403,69.28,55,7,17.58,clear sky
212,Salekhard,RU,66.53,66.6019,15.98,94,100,3.15,overcast clouds
213,Strezhevoy,RU,60.7333,77.5889,24.78,89,8,2.46,clear sky
214,Aykhal,RU,66.0,111.5,18.12,91,98,13.98,overcast clouds
215,Marienburg,PL,54.0359,19.0266,53.06,60,42,14.0,scattered clouds
216,Kaisiadorys,LT,54.8667,24.45,48.09,57,73,12.71,broken clouds
217,Marawi,PH,7.9986,124.2928,70.65,93,100,0.56,overcast clouds
218,Korla,CN,41.7597,86.1469,52.39,35,0,5.14,clear sky
219,Manokwari,ID,-0.8667,134.0833,79.47,75,92,2.75,overcast clouds
220,Kerman,IR,30.2832,57.0788,64.26,20,0,4.61,clear sky
221,Rongcheng,CN,30.634,117.8517,56.71,82,23,2.73,light rain
222,Yinchuan,CN,38.4681,106.2731,55.08,25,100,1.88,overcast clouds
223,Acultzingo,MX,18.7167,-97.3167,66.69,71,100,2.44,overcast clouds
224,Anton Lizardo,MX,19.05,-95.9833,82.22,88,43,2.13,scattered clouds
225,Nome,US,64.5011,-165.4064,26.67,75,20,12.66,few clouds
226,Lompoc,US,34.6391,-120.4579,61.79,88,90,13.8,moderate rain
227,Iqaluit,CA,63.7506,-68.5145,27.7,86,84,5.01,broken clouds
228,Kulhudhuffushi,MV,6.6221,73.07,81.66,79,100,9.6,overcast clouds
229,Ifanadiana,MG,-21.3,47.6333,76.17,76,59,5.59,broken clouds
230,Uvinza,TZ,-5.1036,30.3911,84.67,43,100,6.98,overcast clouds
231,Vaikam,IN,9.7667,76.4,78.82,87,99,4.76,heavy intensity rain
